24-May-11 16:23:27.309836 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 16:23:27.310836 | DEBUG    | MAIN LOGGER                    | IN get_node_parent(node) -> object: node = {'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': '0', 'type_node': 'PROJECT', 'template_name': None, 'included': 1}
24-May-11 16:23:27.311839 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 16:23:27.312837 | DEBUG    | MAIN LOGGER                    | IN add_sections_in_sa()                                                         
24-May-11 16:23:27.316837 | DEBUG    | MAIN LOGGER                    | IN get_config_content(id_content) -> list: id_content = 1200                    
24-May-11 16:23:27.317836 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 16:23:27.318838 | DEBUG    | MAIN LOGGER                    | IN get_config_table(id_content) -> list: id_content = 1200                      
24-May-11 16:23:27.318838 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 16:23:27.322838 | DEBUG    | MAIN LOGGER                    | create_table_from_value(self, json_data): data = [["\u041f\u0422-1", "\u041f\u0430\u0441\u043f\u043e\u0440\u0442 \u0442\u0440\u0430\u0441\u0441\u044b. \u041e\u043f\u0438\u0441\u044c \u0434\u043e\u043a\u0443\u043c\u0435\u043d\u0442\u043e\u0432", "1", "4", ""], ["\u041f\u0422-2", "\u0422\u0438\u0442\u0443\u043b\u044c\u043d\u044b\u0439 \u043b\u0438\u0441\u0442 \u043f\u0430\u0441\u043f\u043e\u0440\u0442\u0430 \u0442\u0440\u0430\u0441\u0441\u044b", "1", "5", ""], ["\u041f\u0422-3", "\u0421\u043a\u0435\u043b\u0435\u0442\u043d\u0430\u044f \u0441\u0445\u0435\u043c\u0430 \u0412\u041e\u041b\u041f \u0438 \u043e\u0441\u043d\u043e\u0432\u043d\u044b\u0435 \u0434\u0430\u043d\u043d\u044b\u0435 \u0446\u0435\u043f\u0435\u0439 \u043a\u0430\u0431\u0435\u043b\u044f", "3", "6-8", ""]]
24-May-11 16:23:27.325842 | DEBUG    | MAIN LOGGER                    | IN get_config_content(id_content) -> list: id_content = 1201                    
